apartment,google_text
Woodland Mews,"Awesome location and this is what undoubtedly makes the high price. Awesome very friendly office staff and now also maintenance staff. This makes a big difference for me after living 16 years somewhere else in Ann Arbor. I really love my townhouse, but it is unfortunately quite old. All other places around have at least linoleum in the living room, but here we still have carpet everywhere (not healthy). The major issues are doors and windows which need to be replaced (not sealed, recurrence of bugs entering). The bathtubs would also benefit to be replaced with a more modern shower, or at least with new faucets. The air condition is not very efficient upstairs. But I appreciate a lot that I could have my own appliances. The highway is conveniently close by, but not too noisy so that I can enjoy sleeping with opened windows at night. We can walk and bike all around, garden and enjoy wild life !"
Woodland Mews,"I appreciate the prompt responses from the leasing office and maintenance team. A couple of minor issues I initially experienced were the noise from the upstairs unit (footsteps are very audible due to limited soundproofing, which is not the neighbors’ fault) and the black mold around the bathroom sink present since move-in, which we were informed we would need to remove ourselves.

Update (11/15/25): I would like to revise my review based on my recent experience with the leasing office. The maintenance concern mentioned above occurred last year. Since this summer, the current leasing office staff have been consistently attentive to residents’ concerns, and after seeing this review, they reached out to me and my roommate to address the issue. It has now been resolved. Their response time and follow-up have been reliable."
Woodland Mews,Nice ambience and peaceful are to stay. Well furnished and equipped Gym for common usage. Easy access for Meier and Busch around the apartment. Very close to Michigan University and football ground.
Woodland Mews,"We have lived at Woodland Mews for just over a year and have had a great experience. The maintenance team is super responsive & helps resolve our issues quickly. Can’t beat the location, either!"
Woodland Mews,"Avoid This Property at All Costs. I cannot recommend living here to anyone. After three years, I’ve seen and experienced enough to confidently say: save yourself the health risks, stress, and wasted money.

Multiple residents we met, during our time here, including those in both apartments and townhomes, have had to evacuate due to black mold. We personally dealt with multiple bursting pipes, malfunctioning appliances that were never upgraded, just repeatedly patched up, and continuous black residue in our water, which was never fixed (good luck to whoever is living there next!).

Want to speak to the GM or anyone in upper management? Good luck. They’re never available, always “in a meeting"" or ""not there,"" and consistently fail to respond to calls or emails. The front desk and maintenance staff are lovely and understanding, but unfortunately powerless when things go wrong.

The amenities have deteriorated significantly. No more snacks, no Starbucks coffee, no pool towels, etc. For the rent you pay, you deserve far better.

And if you’re hoping to get your security deposit back, think again. They’ll charge you a cleaning fee even if you’ve had the unit professionally cleaned, and expect to be billed an exorbitant amount for trivial things. It’s petty and exploitative.

They showed zero compassion to a military family dealing with an extraordinary circumstance on a return to duty date. If they won’t even support those who serve, do you really think they care about you?

This place is a money grab, plain and simple. Management is unresponsive, unaccountable, and unconcerned with residents’ well-being. Do yourself a favor and look elsewhere.

Also for awareness - many of the positive reviews are written by people to win raffles and giveaways by the complex."
The Emerson Apartments,"I’ve had such a great experience at Emerson Apartments. The community is clean, modern, and well-maintained, but what really sets this place apart is the staff. Terrye Kraft is absolutely amazing—she goes above and beyond to make residents feel welcome and cared for. From the very first interaction, Terrye was professional, friendly, and genuinely helpful. She is quick to answer questions, attentive to details, and always makes sure any concerns are handled promptly.

It’s rare to find someone who truly makes apartment living feel stress-free, but Terrye does exactly that. Her kindness and dedication make this not just a place to live, but a place to feel at home.

I can’t recommend Emerson Apartments—and especially Terrye—highly enough!!"
The Emerson Apartments,"We recently toured this community and were absolutely blown away by the welcoming, red-carpet feel of the lobby. Every detail—from the spotless glass doors to the fresh-baked pastries waiting for residents and guests—has been thoughtfully curated, and it all comes without a premium price tag. Terrye, our leasing professional, was the epitome of hospitality: knowledgeable, responsive, and genuinely invested in helping us find our perfect home.

Beyond the stylish common areas, the neighborhood is wonderfully quiet yet just steps from shops, cafés, and groceries. As pet owners, we couldn’t be happier with the well-maintained dog areas and additional pet amenities. If you’re looking for a blend of comfort, convenience, and a touch of luxury without breaking the bank, this place checks every box. We can’t wait to move in!"
The Emerson Apartments,"I have worked with Hannah in the past finding an apartment to live and she is so easy to talk to, really listens to her clients wants and needs and is super reliable and communicative throughout the whole process! She is knowledgeable about the property and the area and is a joy to be around and work with! Definitely recommend requesting her to assist you in your apartment finding journey! She is the total package and will walk you through the journey and assure you end up in the perfect spot for you!!!"
The Emerson Apartments,"⭐️⭐️⭐️⭐️⭐️
If you’re hunting for a place to call home, stop scrolling and call Terrye at The Emerson—she is an absolute ROCKSTAR! 🤘

From the very first message, Terrye brought the perfect mix of knowledge, energy, and genuine excitement. When we changed our minds halfway through one floor plan, she didn’t miss a beat—she had a backup ready and guided us straight to the perfect layout we fell in love with. That kind of adaptability is rare, and she made it look effortless.

What really sets Terrye apart is how deeply she knows the area, the property, and the kind of community that thrives here. She’s not just showing apartments—she’s matching people with homes.

Through the entire process—touring, applications, paperwork—she was bubbly, friendly, and laser-focused on making sure we had everything we needed.

And here’s the best part: if she didn’t know an answer, she found it. Fast. No runaround, no fluff—just results. That’s the kind of professionalism you don’t see every day.

We came looking for a place to live, but from the moment we pulled into the drive, Terrye had us sold. She’s the real deal, and The Emerson is lucky to have her."
The Emerson Apartments,"Updated: Originally thought this was a great place but after they got my application they ghosted me. to an extent I understand because I had a dispute (not even for late rent or anything). I let the rep TK know this was being taken to district court by me AND disputed as they had no grounds. I heard nothing back it's been  a week. Very unprofessional. I decided to go with another apartment but the least they could've done was let me know it was a no as I paid over $100 for the application and did my due diligence with a cosigner.

Absolutely beautiful place. I was thoroughly impressed it checked all the boxes to me. I was shown around by Terrye Kraft  who was incredibly kind and helpful. I told her mid tour ""I'm giving  you and this place 5 stars"". She was easy to talk to, very open, and answered every question I had. :D I'm choosing between this place and another but I think this place won for me!"
Pine Valley Apartment Homes,"I have had a very negative experience living at Pine Valley for almost 4 years, and I don’t recommend it to anyone. Their infrastructure, grounds, and buildings are kept in poor condition, and their maintenance staff is awful. This has resulted in numerous problems for me over the years, one of which (my car being flooded in my assigned parked space in their parking lot) cost me tens of thousands of dollars.

The storm drains at my complex were blocked, causing the parking lot to flood during a summer storm (see photo). My car was totaled and I had to buy a new one. After lots of arguing with the landlords, they ultimately did nothing at all. A month or two later, the parking lot flooded a second time. I was home and moved my car, so no damage, and they finally decided to have the storm drain professionally snaked. They refused to give me a new parking spot and assured me it was fine. Then, a month later a THIRD PARKING LOT FLOOD happened in the middle of the night; I woke up and found my car in 14 inches of standing water. Had to take it in for service, it ended up being okay (higher clearance on my new car), but the check-up cost me. After months of stress, emails, not being able to get to work, etc and tens of thousands of dollars in damages due to their bad infrastructure, Pine Valley ultimately gave me $0 in compensation.

The buildings are in poor shape in general, and maintenance is shoddy. I have been dealing with ants coming in through vents and windows/cracks in the foundation throughout my 4 years here, including carpenter ants which live in rotting wood (see photo). Maintenance is a joke—I once had them unclog my shower drain (regular need due to the old narrow pipes), and they LEFT all the gray sludge from the pipes sitting in my tub and sprayed around my bathroom where my cat could get into it (see photo). Many of the “repairs” they’ve done have been useless – they had to fix the door closer on the door leading into my apartment, and it looked like it was done by a 4 year old with a screwdriver (see photo; it obviously broke again a few days later). They also had to replace electrical breakers, and they tore up my drywall in the process and just left giant holes in the wall (see photo); I emailed them about the issue, and they simply never responded. They also illegally issue blanket notices of entry for “some time over these 5 days” (see photo for example), so you actually have no idea when contractors, inspectors, etc are going to be coming into your home.

They have a new resident manager every 6-12 months (high turnover never a good sign...) so you’re constantly dealing with someone new who doesn’t know what’s going on. Also, although this isn’t their fault, they are located in the part of Ann Arbor that has the most frequent and longest lasting DTE power outages, so if you live here you have to be prepared for multi-day stretches without power during winter storms.

I could honestly keep sharing details and photos of even more bad experiences, but I think the image is clear. Rent somewhere else. I’m looking forward to moving elsewhere this summer."
Pine Valley Apartment Homes,"I lived here for all my college years in umich and I love here so much. I believe if I was successfully admitted to the master school in umich, I would choose to stay here for more time.

The apartment is clean, big and quiet. There are enough parking lots so even when my friends came and visited me, they can always find somewhere to park .

Officers and maintenance team are friendly and always willing to help. More than once I locked myself outside my apartment during midnight but they are never impatient to me and always came quickly to help me open the door. When my grinder is broken because of my improper operation, they responded to my request timely and find someone who can help me immediately.

Especially, Shannon is so great! She always make me feel welcomed and make everything organized. I definitely will miss her >"
Pine Valley Apartment Homes,"I lived at Pine Valley apartments for three years for school. The unit itself is great for its size and price, especially in Ann Arbor. Most of my maintenance requests were addressed right away. Pine Valley was very accommodating during my move and worked out a flexible move out timeline for me which was really helpful. Overall, I was happy to call it home!"
Pine Valley Apartment Homes,"I was a resident at Pine Valley Apartments from 2019 to 2023. In 2019, they had a pretty nice set of office staff. They hosted an annual ""resident appreciation week"" where they offered free food and raffles for prizes. My roommate and I won a 50in 4K TV, which was great. However, these resident appreciation weeks halted around 2022 for unknown reasons. While living at Pine Valley got off to a great start, it gradually worsened each year. The turnover for office and maintenance staff was incredibly high. I counted about 6 residential managers between 2019 and 2023, all of whom left abruptly. In 2023, they hired a new manager named Kelly. She seemed fine at first, but I quickly changed my mind. I had intended to vacate my apartment but had to cancel this plan at the last second because my plans fell through. Kelly was angry that I cancelled. So she lied, saying the apartment had already been leased to someone else. She attempted to illegally evict my roommate and me from our home, threatening to send lawyers and police to force us out of the apartment. I had never encountered someone so cold before.

Despite Kelly's bosses knowing what she had done, they did not fire her. Kelly continued her behavior, but it was now directed at all residents. Pine Valley had been in non-compliance with the city of Ann Arbor for nearly a year, and Kelly decided to hang signs on the buildings threatening to pass the city fines Pine Valley received onto the residents if they refused to allow city inspectors or maintenance personnel to enter their homes. My apartment, in particular, needed its tub reglazed (something many other apartments also needed). However, my bathtub was chipped and in need of reglazing the day I arrived in my apartment in 2019.

They had ample opportunities to address these problems each time there was resident turnover, for instance, they could have reglazed my tub before I moved in. Therefore, it's preposterous for Pine Valley and Kelly to attempt shifting the blame and consequences of non-compliance onto the residents. Many of the reasons for the non-compliance were due to issues that had been neglected for years. Pine Valley has no one to blame but themselves for their non-compliance. And yes, this means they have to accept the consequences of their greed and neglect. Perhaps they could hang signs on the buildings that say ""We are sorry for neglecting these buildings for many years and not fixing things before you moved in. We want to change that now, so please help us do that."" Rather, this is how they acted in a nutshell: ""Let us fix your homes now that the city inspectors are onto us. If you don't let us in now, we will fine you. How dare you disrespect us."" Hypocrisy at its finest.

I could touch on many other issues, such as how the pool wasn't being cared for anymore as it was filthy most of the time. Conveniently, they would close the pool when the city inspectors came, then reopen it when they left. Or I could mention how the apartment would heat up very easily and it was usually very humid and stuffy inside even with the A/C on or windows open. They did not consider spraying for wasp nests or yellow jacket nests on the buildings or by the pool, so there were a ton of wasps and yellow jackets near the pool or near our balcony. It's common courtesy to monitor wasp/yellow jacket nests to protect residents from being stung. I could never fully enjoy sitting on my balcony with all the wasps flying around. We even had wasps get inside, likely through a crack in our sliding door.

The only positives I can provide are: the rent is somewhat affordable compared to other places in Ann Arbor, the nearby neighborhood is nice, they offer month-to-month leases, and I liked how much closet space we had. However, personally, these positives do not compensate for the major issues I witnessed.

All in all, I do not recommend living at Pine Valley. Unless they learn to treat residents with as much respect as they demand, I don't foresee any improvement at Pine Valley."
Pine Valley Apartment Homes,"Be careful when moving here. Several of my friends who are students live here. I decided to check them out for rental. On two different occasions  two different staff managers were rude. I thought maybe they are having a bad day or they are not being treated  well themselves.  These apartments looked  good on the outside however Pine Valley  controls the heat.  It is extremely hot or cold in the winters. After studying  at my friends apartment for 3 days I now  know the boilers go out often.   It was cold for an extended  time in his apartment while they found some company who could fix the problem.  They never notified  him so we could  go to hotel they acted like this was not an issue,  They also turn the water off to  fix  water issues and broken pipes often.  Underneath  the painted walls  is lead paint.  I am from India, while in their office they  acted like they had a problem  with my skin color so  I  chose not to move here I will stay in U of M dorms. If I could give  them a zero for customer service I would . They have high turnover on staffing"
The Villas at Main Street,"Decent complex
The staff were all super friendly and the complex is beautiful. I didn't get a tour of the apartments but the clubhouse is nice and well maintained. There's a small gym in the clubhouse towards the front of the complex. There's also a little lounge area.
The pool is really nice however it was pretty dirty. I understand some debris from wind and weather but it looks as if it hasn't been cleaned in a few days.
Also, there were a lot of bees around the pool so that was very bothersome but I understand it's unavoidable sometimes.
There aren't any indoor pools/spas which is definitely disappointing since the summer season is ending soon.
The large bathroom stall doesn't lock but there are showers you can access in the women's locker room.
Personally, for an apartment claiming to be luxury, I don't agree with that title. I feel like it's decent and the staff are nice."
The Villas at Main Street,"I have lived at Villas on Main Street for over a year and a half, and overall the experience was less than satisfactory. The location proved to be convenient, and the manager was very good at pointing the finger at owners of this apartment complex.
The maintenance staff are great but they have no say in recommendations for old inefficient equipment to be replaced. So the turnover of maintenance staff is high, because they don’t want to deal with the stress of tenants and the stress management puts on them to do repairs with limitations.

The manager of this establishment must get a great bonus every month from the owners to keep their cost down, by not replacing aging and inefficient appliances and equipment.
However, it's essential to note that the apartments showed signs of aging interior and exterior, despite some attempts at renovation. Issues like a rusty dishwasher and electric stove, sticky folding doors, poor window and door insulation, and a worn-out tub with wall tiles improperly installed were regular occurrences. Also not functioning bike racks, many pot holes throughout the community, not enough parking garages and parking line spaces have not been repainted for years, my apartment bedroom ceiling has reoccurring water leaks, poorly designed dog park. I must add due to hot weather this year, we had bee’s coming in through inside apartment vents
The maintenance team was responsive, but it became quite unpleasant to deal with the frequent need to request services due to the apartment's aging condition.

I would strongly recommend conducting a detailed move-in inspection and documenting with pictures any pre-existing borderline misfunctions or worn-out areas to avoid disputes with the management. Otherwise, they might attribute such issues as ""damages"" and request payment for replacements.

It’s definitely not a “LUXURY” apartment community, except for the price. While the place isn’t perfect, and due to my age and financial situation it is serving its purpose for now."
The Villas at Main Street,"I've lived at Villas at Mainstreet for 6 years - and love the community. Some units are better than others (layout, upgrades, location within the community, etc.) - but most of that is subjective. I've lived in 2 different units and would highly recommend it here. The location is amazing - Bush's grocery is like a minute away, 94 is like 3 minutes away, UMich campus is less than 5 minutes away. It's just a great location. The staff is really helpful and responsive. I don't really have anything bad to say about it. If I HAD to pick something that could be improved - I'd say maybe the package room gets a little crazy sometimes. But they only have so many lockers so with the number of people who live here, that's bound to happen. The pool could be a little bigger also (I've never once used it in 6 years - but maybe if it was bigger and there was a hot tub or sauna I would). Also, it's a bit pricy (but that's what you get in Ann Arbor)."
The Villas at Main Street,"***Trash and recycling area is a long standing public safety and sanitation hazard (that is my opinion, but please be your own judge and look at the photos). This situation has been going on since early June 2025 until today (Aug 27, 2025), and was first reported on June 10th. Management has proven unwilling/unable to take meaningful or sustainable action in resolving these issues, they consider these hazards to just be ""unsightly"". This area is less than 100 feet from my building and 20 feet from where I park.

The 4 small recycling dumpsters absolutely overflow into the road every weekend and management is not willing to schedule additional pickups on the weekend. The trash compactor area is regularly blocked with bulk items, furniture, broken appliances (placed in plain sight by the maintenance team), and piles of loose torn open trash bags.

This is a large community and to think that 4 small recycle dumpsters with only Mon/Wed/Fri pickups would be sufficient is beyond insanity. The weekend is peak demand and neither recycling nor trash are picked up.

***Everything else is true about the heating/cooling and lack of insulation being absolutely sub-par and incapable of keeping a livable temperature. I was forced to put of tons of heavy/insulated curtains on every window in order to somewhat improve the situation.

***Upon move-in, our washer and stove were beyond repair, non-functional, and absolutely filthy. The community manager (Samantha) claimed that the issues were ""cosmetic"" (without looking at them, and at her own admission, without maintenance knowledge) and tried to say no to replacing them. This was after maintenance came out multiple times over several weeks to attempt to service these trashy old appliances.

0 stars, 0 stars, 0 stars

Sep 4 update: I'll continue to add time/date stamped photos to show how disingenuous Mgmt's response was. I have been calling/submitting maintenance/emailing property mgmt directly for 3+ months now...if they want to talk they know my email, if they want to find a partial solution, they simply need to schedule recycling pickup on Sunday."
The Villas at Main Street,"The Assistant Community Manager, Jackson, has been the most unprofessional and arrogant person I’ve encountered in the U.S. I would strongly caution anyone dealing with him.
1.	They charged me an extra insurance fee for several months even though I had already provided proof of my own insurance via email. Only later did I learn (without any notification) that they required a separate “system submission.” No follow-up, no reminder, just months of unnecessary charges.
2.	The maintenance team originally told us that the balcony light could not be turned off due to “government regulations.” My roommate suffered for months because the bright light was directly outside his bedroom. Only after we pressed further did they admit it was actually their mistake.

Worst of all was Jackson’s attitude. Instead of taking responsibility, he was dismissive, arrogant, and tried to shift all the blame back to us. When we tried to discuss the issues, he told us to leave his office and refused to continue the conversation. His behavior came across as extremely disrespectful, and even discriminatory.

When you leave negative views, they rely ‘we can have an open conversation’ but the truth is , it’s just a show. They even don’t reply the email

I rarely leave reviews, but this was such an awful experience that I feel compelled to warn others."
Uptown Ann Arbor,"I have been living at Uptown Ann Arbor for a year, and I absolutely love it here! The community is beautiful, peaceful, and very well maintained. The apartments are modern and comfortable, making it truly feel like home.

What makes the experience even better is the amazing leasing office team. Tyler and Tamara have always been kind, helpful, and professional. They are attentive to residents’ needs and always provide outstanding service.

I highly recommend Uptown Ann Arbor to anyone looking for a great place to live with a supportive and friendly staff."
Uptown Ann Arbor,"I’ve had a wonderful experience at Uptown Ann Arbor Apartments thanks to the outstanding work of Tyler (Property Manager) and Tamara (Assistant Manager). They are always professional, friendly, and go above and beyond to make sure everything runs smoothly. Their dedication and attention to detail truly make Uptown a great place to live. Thank you both for your excellent service!"
